Gender,Age at enrollment,Marital status,Course,Previous qualification,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,Unemployment rate,Inflation rate,GDP,Target
Female,18,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Enrolled
Female,21,Single,Animation and Multimedia Design,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,20,Single,Oral Hygiene,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Enrolled
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Graduate
Female,19,Single,Advertising and Marketing Management,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,19,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,18,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Enrolled
Female,21,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Female,18,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Enrolled
Female,20,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Male,19,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Enrolled
Male,21,Single,Agronomy,Technological specialization course,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Enrolled
Male,20,Single,Communication Design,Secondary education,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Graduate
Male,18,Single,Management,Secondary education,No,No,No,No,No,8.9,1.4,3.51,Enrolled
Female,19,Single,Social Service (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Male,34,Single,Management (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Male,37,Single,Biofuel Production Technologies,Secondary education,No,No,No,No,No,8.9,1.4,3.51,Dropout
Male,43,Single,Informatics Engineering,11th year of schooling - not completed,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Dropout
Female,55,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Dropout
Female,39,Divorced,Management (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,20,Single,Equinculture,Technological specialization course,No,No,No,No,No,12.4,0.5,1.79,Dropout
Female,18,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Dropout
Female,22,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Graduate
Female,22,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,20,Single,Journalism and Communication,Secondary education,No,No,No,No,No,12.4,0.5,1.79,Dropout
Female,29,Single,Management (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Dropout
Female,24,Single,Management (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Enrolled
Female,18,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,22,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,21,Single,Social Service (evening attendance),Technological specialization course,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,19,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Graduate
Female,24,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,19,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Enrolled
Female,20,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Enrolled
Female,19,Single,Equinculture,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,27,Single,Management (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Dropout
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Graduate
Female,39,Married,Tourism,Higher education - degree,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Dropout
Female,27,Single,Equinculture,Higher education - degree (1st cycle),Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Dropout
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Female,18,Single,Animation and Multimedia Design,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Enrolled
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Female,21,Single,Social Service,Technological specialization course,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Male,19,Single,Animation and Multimedia Design,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Enrolled
Male,19,Single,Communication Design,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Enrolled
Male,24,Single,Communication Design,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Enrolled
Male,29,Divorced,Nursing,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Dropout
Male,19,Single,Animation and Multimedia Design,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
Male,23,Single,Agronomy,Technological specialization course,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Graduate
Male,19,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Dropout
Male,26,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Enrolled
Male,18,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Enrolled
Male,24,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Male,19,Single,Animation and Multimedia Design,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Dropout
Male,18,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Dropout
Male,18,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
Male,18,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Dropout
Male,21,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Dropout
Male,19,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Graduate
Male,22,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Male,33,Married,Social Service (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
Male,20,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Dropout
Male,35,Single,Management (evening attendance),Higher education - bachelor's degree,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Dropout
Male,24,Single,Agronomy,Higher education - master's,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Dropout
Male,18,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Enrolled
Female,33,Married,Social Service (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Female,22,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
Female,25,Single,Advertising and Marketing Management,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Male,20,Single,Communication Design,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Male,23,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Enrolled
Male,18,Single,Informatics Engineering,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Enrolled
Male,24,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Dropout
Female,21,Single,Journalism and Communication,Secondary education,No,No,No,No,No,8.9,1.4,3.51,Graduate
Female,26,Single,Equinculture,Secondary education,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Dropout
Female,39,Married,Basic Education,11th year of schooling - not completed,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Dropout
Female,44,Married,Social Service (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Graduate
Male,19,Single,Informatics Engineering,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Enrolled
Female,18,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Graduate
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,19,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Enrolled
Female,19,Single,Nursing,Secondary education,No,No,No,No,No,13.9,-0.3,0.79,Dropout
Female,21,Single,Veterinary Nursing,Professional higher technical course,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Dropout
Female,20,Single,Animation and Multimedia Design,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Female,36,Married,Social Service (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Dropout
Female,43,Divorced,Agronomy,Other - 11th year of schooling,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Graduate
Female,19,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Dropout
Female,20,Single,Communication Design,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,19,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Dropout
Female,20,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Dropout
Female,20,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Dropout
Female,20,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Enrolled
Female,18,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Female,18,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Enrolled
Female,19,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
Female,18,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Dropout
Female,20,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Enrolled
Female,20,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Enrolled
Female,20,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Enrolled
Female,18,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Female,18,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,21,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Dropout
Female,19,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Female,19,Single,Animation and Multimedia Design,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Dropout
Female,19,Single,Advertising and Marketing Management,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Female,19,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Graduate
Female,19,Single,Oral Hygiene,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Dropout
Female,20,Single,Veterinary Nursing,Technological specialization course,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,18,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Enrolled
Female,18,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,19,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Dropout
Female,18,Single,Communication Design,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,19,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Graduate
Female,19,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Dropout
Female,20,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,19,Single,Advertising and Marketing Management,Secondary education,No,No,No,No,No,12.4,0.5,1.79,Dropout
Female,20,Single,Advertising and Marketing Management,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,18,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Graduate
Female,20,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Enrolled
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Female,19,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,19,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,22,Single,Management,Secondary education,No,No,No,No,No,8.9,1.4,3.51,Enrolled
Female,19,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,19,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Graduate
Female,19,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Female,19,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Dropout
Female,20,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Dropout
Female,18,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Female,20,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,18,Single,Animation and Multimedia Design,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Enrolled
Female,19,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,18,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Enrolled
Female,18,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,21,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Dropout
Female,19,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Dropout
Female,18,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,18,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Graduate
Female,20,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Female,24,Single,Social Service (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,19,Single,Advertising and Marketing Management,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Dropout
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Graduate
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Graduate
Female,21,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Dropout
Female,19,Single,Advertising and Marketing Management,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,19,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Graduate
Female,47,Widower,Agronomy,Secondary education,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Enrolled
Female,19,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Female,29,Single,Nursing,Higher education - degree,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Graduate
Female,21,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Dropout
Female,28,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Enrolled
Female,20,Single,Oral Hygiene,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Graduate
Female,19,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,26,Single,Social Service (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Female,20,Single,Tourism,Secondary education,No,No,No,No,No,11.1,0.6,2.02,Dropout
Female,18,Single,Advertising and Marketing Management,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Enrolled
Female,27,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,20,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Dropout
Female,18,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Dropout
Female,33,Single,Nursing,Higher education - degree,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Dropout
Female,35,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,26,Single,Management (evening attendance),Technological specialization course,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Enrolled
Female,27,Single,Journalism and Communication,Basic education 3rd cycle (9th/10th/11th year) or equiv.,No,No,No,No,No,11.1,0.6,2.02,Dropout
Female,19,Single,Communication Design,Secondary education,No,No,No,No,No,15.5,2.8,-4.06,Dropout
Female,20,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Dropout
Female,20,Single,Management,Secondary education,No,No,No,No,No,10.8,1.4,1.74,Dropout
Female,21,Single,Social Service,Secondary education,No,No,No,No,No,9.4,-0.8,-3.12,Enrolled
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,24,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Dropout
Female,20,Single,Communication Design,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Female,21,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Female,23,Single,Social Service (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Enrolled
Female,24,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Dropout
Female,21,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Dropout
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Graduate
Female,27,Single,Management (evening attendance),Higher education - degree (1st cycle),Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Dropout
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Female,35,Single,Informatics Engineering,Higher education - degree,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Dropout
Female,18,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,35,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Enrolled
Female,19,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
Female,20,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
Female,21,Single,Social Service,Technological specialization course,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Female,18,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Female,18,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Graduate
Female,18,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Female,19,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Female,36,Single,Tourism,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Dropout
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Graduate
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,20,Single,Equinculture,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Female,26,Single,Management (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Dropout
Female,21,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Graduate
Female,25,Single,Oral Hygiene,Higher education - degree (1st cycle),Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Enrolled
Female,19,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,24,Single,Social Service (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Dropout
Female,27,Single,Social Service (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Dropout
Female,21,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Dropout
Female,18,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Female,19,Married,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
Female,18,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Dropout
Female,19,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,19,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Female,33,Married,Management (evening attendance),Higher education - master (2nd cycle),Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,45,Married,Management,Higher education - degree,Yes,Yes,Yes,Yes,Yes,12.4,0.5,1.79,Graduate
Female,20,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,11.1,0.6,2.02,Graduate
Female,28,Single,Advertising and Marketing Management,Secondary education,Yes,Yes,Yes,Yes,Yes,7.6,2.6,0.32,Dropout
Female,19,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Graduate
Female,18,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Graduate
Female,38,Single,Tourism,Higher education - degree,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Dropout
Female,19,Single,Advertising and Marketing Management,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Female,21,Single,Tourism,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Graduate
Female,21,Single,Management,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Dropout
Female,22,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
